2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
-286479000.0,-981507000.0,1948860000.0,970572126.783412,
0.139,0.159,0.162,0.162493,
100032000000.0,91333000000.0,91491000000.0,55941000000.0,
-2061000000.0,-6173000000.0,12030000000.0,5973000000.0,
-2061000000.0,-6173000000.0,12030000000.0,5973000000.0,
73795000000.0,59972000000.0,76033000000.0,40269000000.0,
11946000000.0,13475000000.0,12441000000.0,13697000000.0,
133332000000.0,126203000000.0,110939000000.0,84732000000.0,
97971000000.0,85160000000.0,103521000000.0,61914000000.0,
86025000000.0,71685000000.0,91080000000.0,48217000000.0,
3557000000.0,1817000000.0,1153000000.0,1730000000.0,
308000000.0,357000000.0,346000000.0,135000000.0,
3865000000.0,2174000000.0,1499000000.0,1865000000.0,
75569521000.0,65163493000.0,65951860000.0,35266572126.78341,
73795000000.0,59972000000.0,76033000000.0,40269000000.0,
223101000000.0,207994000000.0,178923000000.0,141303000000.0,
84293000000.0,74842000000.0,78714000000.0,41224000000.0,
12722000000.0,13159000000.0,13553473900.0,13740553816.0,
12630000000.0,13063000000.0,13352993991.0,13616313872.0,
5.8,4.56,5.610003,2.930501,
5.84,4.59,5.694003,2.957501,
73795000000.0,59972000000.0,76033000000.0,40269000000.0,
73795000000.0,59972000000.0,76033000000.0,40269000000.0,
73795000000.0,59972000000.0,76033000000.0,40269000000.0,
73795000000.0,59972000000.0,76033000000.0,40269000000.0,
73795000000.0,59972000000.0,76033000000.0,40269000000.0,
11922000000.0,11356000000.0,14701000000.0,7813000000.0,
85717000000.0,71328000000.0,90734000000.0,48082000000.0,
-2133000000.0,-5331000000.0,10867000000.0,5128000000.0,
556000000.0,1179000000.0,-1497000000.0,-1246000000.0,
,,0.0,0.0,-1697000000.0
,,,,1697000000.0
-628000000.0,-337000000.0,334000000.0,401000000.0,
-2061000000.0,-6173000000.0,12030000000.0,5973000000.0,
3557000000.0,1817000000.0,1153000000.0,1730000000.0,
308000000.0,357000000.0,346000000.0,135000000.0,
3865000000.0,2174000000.0,1499000000.0,1865000000.0,
84293000000.0,74842000000.0,78714000000.0,41224000000.0,
89769000000.0,81791000000.0,67984000000.0,56571000000.0,
45427000000.0,39500000000.0,31562000000.0,27573000000.0,
44342000000.0,42291000000.0,36422000000.0,28998000000.0,
27917000000.0,26567000000.0,22912000000.0,17946000000.0,
16425000000.0,15724000000.0,13510000000.0,11052000000.0,
16425000000.0,15724000000.0,13510000000.0,11052000000.0,
174062000000.0,156633000000.0,146698000000.0,97795000000.0,
133332000000.0,126203000000.0,110939000000.0,84732000000.0,
307394000000.0,282836000000.0,257637000000.0,182527000000.0,
307394000000.0,282836000000.0,257637000000.0,182527000000.0,
